CUSTOMER_CODE,INST_CAPACITY,WTG_MODEL_NAME,STATE,ITEM_CODE,RELATED_TO,CALL_STATUS,Closure Range,Closure Days,VIOLATED
CUS00055,C5,W4,TN,IC1,RT009,CS1,CR2,5.957429319,1
CUV00020,C5,W4,TN,IC2,RT027,CS1,CR1,0.705672787,1
CUR00070,C3,W2,MH,IC2,RT007,CS1,CR4,118.8530817,1
CUR00082,C5,W6,KA,IC1,RT009,CS1,CR2,5.957429319,1
CUN00021,C5,W3,MH,IC1,RT001,CS1,CR2,5.957429319,1
CUS00155,C7,W11,MH,IC3,RT002,CS1,CR2,5.957429319,1
CUG00011,C5,W4,TN,IC1,RT013,CS1,CR2,5.957429319,1
CUS00012,C5,W8,MH,IC2,RT027,CS1,CR2,5.957429319,1
CUJ00020,C5,W8,MH,IC1,RT008,CS1,CR2,5.957429319,1
CUH00018,C5,W6,KA,IC1,RT001,CS1,CR3,23.01449275,1
CUD00002,C2,W1,MH,IC2,RT034,CS1,CR3,23.01449275,1
CUN00029,C5,W6,KA,IC1,RT031,CS1,CR2,5.957429319,1
CUK00019,C5,W4,TN,IC3,RT021,CS1,CR1,0.705672787,0
CUS00052,C5,W6,RA,IC3,RT007,CS1,CR3,23.01449275,1
CUS00074,C5,W4,KA,IC1,RT009,CS1,CR1,0.705672787,0
CUT00012,C5,W6,TN,IC1,RT001,CS1,CR4,118.8530817,1
CUS00130,C5,W8,MH,IC2,RT023,CS1,CR1,0.705672787,0
CUK00029,C5,W8,MH,IC1,RT009,CS1,CR2,5.957429319,1
CUV00035,C5,W3,KA,IC2,RT027,CS1,CR1,0.705672787,0
CUB00010,C5,W4,TN,IC2,RT027,CS1,CR1,0.705672787,0
CUZ00003,C5,W8,MH,IC1,RT013,CS1,CR3,5.957429319,1
CUK00040,C5,W8,MH,IC2,RT027,CS1,CR2,5.957429319,1
CUN00029,C5,W6,KA,IC1,RT001,CS1,CR2,5.957429319,1
CUH00017,C3,W2,MH,IC2,RT008,CS1,CR2,5.957429319,1
CUE00035,C6,W11,TN,IC1,RT013,CS1,CR1,0.705672787,1
CUT00022,C5,W8,MH,IC2,RT014,CS1,CR2,5.957429319,1
CUT00029,C5,W3,TN,IC2,RT033,CS1,CR4,118.8530817,1
CUD00018,C5,W3,MH,IC1,RT009,CS1,CR3,5.957429319,1
CUN00019,C5,W8,MH,IC1,RT013,CS1,CR3,23.01449275,1
CUN00019,C5,W8,MH,IC1,RT009,CS1,CR3,23.01449275,1
CUC00027,C5,W8,MH,IC3,RT007,CS1,CR3,5.957429319,1
CUO00007,C5,W4,TN,IC2,RT018,CS1,CR1,0.705672787,0
CUT00007,C5,W4,TN,IC3,RT007,CS1,CR3,23.01449275,1
CUS00143,C6,W11,TN,IC1,RT018,CS1,CR2,5.957429319,1
CUS00122,C2,W1,RA,IC2,RT023,CS1,CR1,0.705672787,1
CUE00035,C6,W11,TN,IC1,RT031,CS1,CR3,23.01449275,1
CUN00032,C5,W4,TN,IC1,RT013,CS1,CR3,5.957429319,1
CUA00091,C6,W11,TN,IC2,RT033,CS1,CR3,23.01449275,1
CUZ00003,C5,W8,MH,IC1,RT009,CS1,CR3,5.957429319,1
CUP00043,C5,W8,MH,IC1,RT010,CS1,CR2,5.957429319,1
CUP00048,C5,W8,MH,IC1,RT031,CS1,CR4,118.8530817,1
